BuildingID,BuildingName,BuildingType,Town,Latitude,Longitude,Technology,Vendor,Installation Date,On Air Date,BTS Present,BTS Name,MAIN FAT,Switch,BTS SiteID,Location,Status,SwitchIP
WAT111445,WATAMU VIEW LIMITED P2P,Single-Tenancy,Watamu,,,PTP,Radwin,01/01/1900 00:00,01/01/1900 00:00,,,,,,Watamu,,
WAT243245,Watamu View Limited-Kobe Resort,Single-Tenancy,Watamu,,,Fiber,Kinde,01/01/1900 00:00,01/01/1900 00:00,,,,,,Turtle Bay Road,,
WAT111454,WATAMU- AID EDUCATION INTERNATIONAL KENYA,Single-Tenancy,Watamu,,,PTP,Radwin,01/01/1900 00:00,01/01/1900 00:00,,,,,,Watamu,,
MBS130009,Watamu_Wimax,Single-Tenancy,Mombasa,,,Wimax,Alvarion,01/01/1900 00:00,01/01/1900 00:00,Yes,Watamu Post Office,,Cisco ME3400,Watamu Post Office,Watamu,,172.17.110.34
ELD141379,Water Gate Plaza,Multi-Tenancy,Eldoret,,,Fiber,Huawei,01/01/1900 00:00,01/01/1900 00:00,,,,,,Eldoret,,
KWL141221,WATER LOVERS BEACH RESORT,Single-Tenancy,Kwale,S04.30785,E039. 58095,Fiber,Soliton Telmec,01/01/1900 00:00,01/01/1900 00:00,No,,12C,AR169F,,Diani,Installed,
UKD141199,WATER LOVERS BEACH RESORT-DIANI,Single-Tenancy,Ukunda,S04.30785,E039. 58095_,Fiber,Soliton Telmec,01/01/1900 00:00,01/01/1900 00:00,,,12C,,,DIANI,,
NBI241172,Watermark Business Park,Multi-Tenancy,Nairobi,,,Fiber,Soliton Telmec,01/01/1900 00:00,01/01/1900 00:00,,,,,,Langata -Karen Road,,
NBI140906,WATERSYS HOUSE,Single-Tenancy,Nairobi,,,Fiber,Huawei,01/01/1900 00:00,01/01/1900 00:00,,,,AR169F,,CBD,,
NBI140354,Watersys Plaza,Multi-Tenancy,Nairobi,,,Fiber,Huawei,01/01/1900 00:00,01/01/1900 00:00,,,,,,"Biashara Street, CBD",,
NBI442660,Waumini House,Multi-Tenancy,Nairobi,,,Fiber,Huawei,01/01/1900 00:00,01/01/1900 00:00,,,,,,WAIYAKI WAY,,
NBI142100,Weaverbird Building,Multi-Tenancy,Nairobi,,,Fiber,Ericsson,01/01/1900 00:00,01/01/1900 00:00,,,,,,RIVER ROAD,,
WBY110394,WEBUYE HUB_KPLC WEBUYE,Single-Tenancy,Webuye,,,PTP,Radwin,01/01/1900 00:00,01/01/1900 00:00,,,,,,WEBUYE,,
WBY110439,WEBUYE HUB_KWFT WEBUYE,Single-Tenancy,Webuye,,,PTP,Radwin,01/01/1900 00:00,01/01/1900 00:00,,,,,,WEBUYE,,
KSM143275,WEDCO PLAZA_KISUMU,Multi-Tenancy,KIsumu,,,Fiber,,01/01/1900 00:00,01/01/1900 00:00,,,,,,Kisumu,,
THK142845,WEITETHIA HOUSE,Multi-Tenancy,Thika,,,Fiber,,01/01/1900 00:00,01/01/1900 00:00,,,,,,Thika,,
NBI443234,Well Karen,Multi-Tenancy,Nairobi,1.3407528,36.7569514,Fiber,Huawei,01/01/1900 00:00,01/01/1900 00:00,,,,,,Chiromo lane,,
NBI240122,wells fargo,Single-Tenancy,Nairobi,1.300588,36.815625,Fiber,Ericsson,01/01/1900 00:00,01/01/1900 00:00,No,,,,,"South C, Red Cross Road off Popo Road, Off Mombasa Road, Red Cross Rd,",Installed,10.163.68.178
KSM142576,Wells Fargo Kisumu,Single-Tenancy,KIsumu,,,Fiber,Camusat,01/01/1900 00:00,01/01/1900 00:00,,,,,,Kisumu,,
KSM243361,Wells Fargo Kisumu Mamboleo,Single-Tenancy,Kisumu,,,Fiber,Camusat,01/01/1900 00:00,01/01/1900 00:00,,,,,,Red Cross Road,,
KSM143276,WELLS OIL LIMITED KISUMU,Multi-Tenancy,KIsumu,,,Fiber,,01/01/1900 00:00,01/01/1900 00:00,,,,,,Kisumu,,
WDY110614,WERUGA_EL0874,Single-Tenancy,Wundanyi,,,PTP,Radwin,01/01/1900 00:00,01/01/1900 00:00,Yes,Weruga,,,Weruga,WUNDANYI,,
NBI240148,West 1,Multi-Tenancy,Nairobi,,,Fiber,Huawei,01/01/1900 00:00,01/01/1900 00:00,,,,Huawei S3300,,"Parklands Road, Westlands",,10.163.7.30
KSM140681,West End Mall -Kisumu,Multi-Tenancy,Kisumu,,,Fiber,Ericsson,01/01/1900 00:00,01/01/1900 00:00,No,,,,,Achieng Oneko Rd.,,
NBI240039,West End Towers,Multi-Tenancy,Nairobi,,,Fiber,Soliton Telmec,01/01/1900 00:00,01/01/1900 00:00,,,,,,"Muthangari Drive, Off Waiyaki Way, Westlands (Opposite Safaricom HQ)",Installed,10.160.24.17
