District,Cattle,Sheep,Goats,Camels,Donkeys,Pigs,Indigenous_Chicken,Chicken_Commercial,Bee_Hives,County,Location_1,Province,OBJECTID
POKOT CENTRAL,179212,146300,213141,1050,6559,155,138190,4950,28432,West Pokot,"(1.491213025, 35.49402215)",RIFE VALLEY,119
POKOT NORTH,377688,199977,377903,29273,21671,93,121380,8705,69469,West Pokot,"(2.039330692, 35.10600361)",RIFE VALLEY,120
RACHUONYO,132046,52918,105275,6,5879,965,433562,23805,1482,Homa Bay,"(-0.43493606, 34.70386182)",NYANZA,121
RARIEDA,60060,19807,44300,4,3573,559,183384,6563,722,Siaya,"(-0.218940047, 34.33792037)",NYANZA,122
RONGO,102999,29324,43995,4,1896,1528,435781,28404,604,Migori,"(-0.877791282, 34.51455638)",NYANZA,123
RUIRU,16458,16745,16904,2,1117,3660,89749,168294,585,Kiambu,"(-1.167110142, 36.99460397)",CENTRAL,124
SAMBURU CENTRAL,78123,175415,148368,3544,4281,60,25076,3679,5014,Samburu,"(1.09166901, 36.71442163)",RIFE VALLEY,125
SAMBURU EAST,37350,69422,131840,7212,10363,95,7754,906,3413,Samburu,"(1.081019259, 37.47389892)",RIFE VALLEY,126
SAMBURU NORTH,69193,142861,270542,22068,12178,32,4919,377,12630,Samburu,"(1.789437949, 36.83086912)",RIFE VALLEY,127
SAMIA,17079,4548,16690,,132,7386,93144,5649,502,Busia,"(0.249684994, 34.08114406)",WESTERN,128
SIAYA,167154,55755,79573,8,1552,9905,616660,34332,11734,Siaya,"(0.11399015, 34.3043068)",NYANZA,129
SOTIK,102484,30100,13387,4,3592,328,168386,7840,3666,Bomet,"(-0.759704345, 35.1490337)",RIFE VALLEY,130
SUBA,83238,17364,86412,10,8625,962,215674,9592,893,Homa Bay,"(-0.582416527, 34.20665004)",NYANZA,131
TAITA,111158,26274,103392,1078,2772,688,146614,35170,13438,Taita Taveta,"(-3.416968032, 38.56492447)",COAST,132
TANA DELTA,211838,131154,118676,496,4902,12,65897,4872,4469,Tana River,"(-2.317407934, 39.51654731)",COAST,133
TANA RIVER,58056,141698,365544,48386,12688,23,43208,6734,11058,Tana River,"(-0.942366175, 39.34922935)",COAST,134
TAVETA,42610,19053,63268,208,796,366,65515,3065,3512,Taita Taveta,"(-3.41452877, 37.97519351)",COAST,135
TESO NORTH,26693,3308,20267,,131,4457,158383,12677,888,Busia,"(0.685653144, 34.34692124)",WESTERN,136
TESO SOUTH,34725,5984,19189,,44,12746,198936,9333,439,Busia,"(0.545069632, 34.22063324)",WESTERN,137
THARAKA,63444,31961,142813,12,5444,980,135417,5692,77383,Tharaka Nithi,"(-0.136787024, 38.01828449)",EASTERN,138
THIKA EAST,21164,8000,26083,,356,990,53662,49439,12224,Kiambu,"(-1.029757173, 37.23100647)",CENTRAL,139
THIKA WEST,17323,14716,17838,,725,2884,80174,191810,562,Kiambu,"(-1.099288796, 37.04502993)",CENTRAL,140
TIGANIA,97740,29995,94750,2529,5325,8053,227334,18812,28225,Meru,"(0.256927453, 37.77333779)",EASTERN,141
TINDERET,34023,9942,14649,,4205,58,62074,2876,3718,Nandi,"(-0.013491939, 35.3167413)",RIFE VALLEY,142
TRANS MARA,459106,184780,150496,43,20466,1097,275347,11468,22335,Narok,"(-1.159714592, 34.89742997)",RIFE VALLEY,143
TRANS NZOIA EAST,57887,49074,6136,12,2474,426,183284,71188,3802,Trans Nzoia,"(0.942674226, 34.89426897)",RIFE VALLEY,144
TRANS NZOIA WEST,68170,42618,10811,6,2778,2366,265443,77417,3997,Trans Nzoia,"(1.022635873, 35.18029104)",RIFE VALLEY,145
TURKANA CENTRAL,196492,560671,1273445,150700,90067,220,27405,3773,1985,Turkana,"(3.05371677, 35.44299468)",RIFE VALLEY,146
