Commodity,Type,Kgs,Kshs,Date,OBJECTID
Vegetables,PEAS SNAP,2275705,583376448,01/01/2010 12:00:00 AM,138
Vegetables,PEAS SNOW,1532039.5,451967584,01/01/2010 12:00:00 AM,139
Vegetables,DUDHI,35707.5,6482577,01/01/2010 12:00:00 AM,140
Vegetables,OKRA,145200.8,18787084,01/01/2010 12:00:00 AM,141
Vegetables,BEANS FINE,18191278.69,5603449310,01/01/2011 12:00:00 AM,142
Vegetables,BEANS X-FINE,8448789.98,2609270860,01/01/2011 12:00:00 AM,143
Vegetables,BEANS RUNNER,3634377.23,1226206102,01/01/2011 12:00:00 AM,144
Vegetables,PEAS SNAP,0,0,01/01/2011 12:00:00 AM,145
Vegetables,PEAS SNOW,2233778.77,940314947,01/01/2011 12:00:00 AM,146
Vegetables,DUDHI,45528.6,9235499,01/01/2011 12:00:00 AM,147
Vegetables,OKRA,224646.6,46397453,01/01/2011 12:00:00 AM,148
Vegetables,BEANS FINE,22553653.12,6409100712,01/01/2012 12:00:00 AM,149
Vegetables,BEANS X-FINE,0,0,01/01/2012 12:00:00 AM,150
Vegetables,BEANS RUNNER,2286821.67,733662477,01/01/2012 12:00:00 AM,151
Vegetables,PEAS SNAP,2022082.37,698747857,01/01/2012 12:00:00 AM,152
Vegetables,PEAS SNOW,3641568.65,1218513869,01/01/2012 12:00:00 AM,153
Vegetables,DUDHI,33000.03,7678716,01/01/2012 12:00:00 AM,154
Vegetables,OKRA,132317.89,32580241,01/01/2012 12:00:00 AM,155
Vegetables,BEANS FINE,31973638.49,9934088947,01/01/2013 12:00:00 AM,156
Vegetables,BEANS X-FINE,0,0,01/01/2013 12:00:00 AM,157
Vegetables,BEANS RUNNER,1785860.12,621955391,01/01/2013 12:00:00 AM,158
Vegetables,PEAS SNAP,975856.87,603378024,01/01/2013 12:00:00 AM,159
Vegetables,PEAS SNOW,2784906.42,996149901,01/01/2013 12:00:00 AM,160
Vegetables,DUDHI,42960.55,10712263,01/01/2013 12:00:00 AM,161
Vegetables,OKRA,101854.24,27739216,01/01/2013 12:00:00 AM,162
Vegetables,BEANS FINE,25211785.44,6398555664,01/01/2014 12:00:00 AM,163
Vegetables,BEANS X-FINE,0,0,01/01/2014 12:00:00 AM,164
Vegetables,BEANS RUNNER,832454.53,290131830,01/01/2014 12:00:00 AM,165
Vegetables,PEAS SNAP,1109364.46,332928224,01/01/2014 12:00:00 AM,166
Vegetables,PEAS SNOW,3045919.16,980570928,01/01/2014 12:00:00 AM,167
Vegetables,DUDHI,40364.83,10114596,01/01/2014 12:00:00 AM,168
Vegetables,OKRA,76251.05,22086243,01/01/2014 12:00:00 AM,169
